Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
41,Male,78.8,1.72,172,132,62,1.01,660,Cardio,27.3,3.1,4,2,26.64
50,Male,50.6,1.69,162,156,60,1.31,1012,Cardio,23.8,3,2,1,17.72
41,Male,82.5,1.79,185,139,61,1.69,1163,Cardio,14.7,3.5,4,3,25.75
28,Male,108.5,1.79,183,120,68,1.33,878,HIIT,24.8,2.1,4,2,33.86
25,Male,49.9,1.98,165,122,68,1.15,772,Yoga,25.7,2.1,3,2,12.73
53,Male,125.1,1.91,171,137,70,0.52,353,Strength,28.3,3.1,2,1,34.29
55,Female,79.7,1.66,195,160,68,1.06,763,Cardio,27.8,1.9,2,1,28.92
57,Male,126.8,1.63,161,133,73,0.96,632,Yoga,20.8,2.1,2,1,47.72
37,Female,54.6,1.57,170,150,62,1.31,982,Strength,32.1,2.4,3,1,22.15
52,Female,47.8,1.54,198,146,63,1.34,880,Cardio,29.8,1.9,3,2,20.16
42,Male,97.9,1.91,193,136,73,1.01,680,Strength,29,2.8,3,2,26.84
52,Female,63.1,1.54,185,165,67,1.36,1010,Strength,34.8,1.8,3,2,26.61
42,Female,72.4,1.69,177,148,61,1.07,713,Yoga,29,2.3,3,2,25.35
46,Female,58.9,1.7,180,155,53,1.52,1060,Strength,17.1,2.7,4,3,20.38
35,Female,50.4,1.6,195,156,59,1.03,803,Cardio,29.1,1.9,4,2,19.69
35,Female,64.2,1.59,199,145,66,1.63,1182,Yoga,16.6,2.7,5,3,25.39
19,Female,58.8,1.77,181,136,53,1.4,952,HIIT,32.8,2.7,2,1,18.77
52,Male,105.2,1.62,189,141,61,1.36,949,HIIT,27.6,3.2,3,1,40.09
33,Female,45.9,1.5,189,144,62,0.92,662,Yoga,29.8,1.7,3,1,20.4
58,Female,65.2,1.63,167,121,53,1.12,610,HIIT,25.4,2,3,2,24.54
53,Female,56.3,1.79,193,141,59,1.52,964,Strength,16.5,2.7,5,3,17.57
50,Male,90,1.7,168,124,74,0.81,497,Cardio,22.9,2.7,2,1,31.14
21,Female,60,1.7,179,123,52,1.97,1212,Strength,19.1,2.7,5,3,20.76
50,Male,51.5,1.71,199,155,64,1.48,1136,Yoga,20.9,2.9,2,1,17.61
31,Female,63.1,1.64,184,125,51,1.54,962,Cardio,19,2.7,4,3,23.46
38,Male,91.5,1.77,178,140,74,0.8,616,Yoga,26.7,3.4,2,1,29.21
37,Male,48.7,1.67,164,132,74,1.39,1009,Yoga,27.3,3,2,1,17.46
25,Female,57.8,1.56,170,156,66,1.35,1053,Yoga,29.3,1.6,3,2,23.75
24,Female,42,1.75,174,144,55,0.83,598,Strength,31.8,2.3,3,1,13.71
20,Male,128.4,1.92,167,145,57,0.63,502,Cardio,26.1,2,2,1,34.83
34,Female,74.2,1.57,178,158,52,1.47,1161,Cardio,32.7,2.4,3,1,30.1
50,Male,89.6,1.68,182,139,74,1.79,1232,Cardio,12.2,3.5,5,3,31.75
29,Male,125.9,2,186,152,67,1.36,1137,Strength,24.7,3.1,4,2,31.48
39,Male,105.5,1.99,199,133,71,0.81,593,HIIT,26.4,2.5,2,1,26.64
39,Male,93.4,1.7,191,155,50,1.1,938,Strength,21.1,2.5,4,2,32.32
47,Male,82.1,1.84,185,136,65,1.37,922,Strength,24.4,3.4,4,2,24.25
55,Female,42.9,1.69,186,140,56,0.9,567,Yoga,34.7,2.4,2,1,15.02
55,Male,128.4,1.68,178,165,52,1.13,923,Cardio,20.4,2.6,4,2,45.49
25,Male,112.4,1.96,188,135,72,1.42,1054,Cardio,23.2,2.5,2,1,29.26
44,Female,77.7,1.79,198,165,53,1.41,1047,HIIT,28.1,2.2,3,1,24.25
44,Male,89.3,1.99,192,135,58,1.4,936,HIIT,26.3,2,4,2,22.55
51,Female,70.3,1.55,178,139,54,1.4,876,Yoga,26.1,1.6,3,1,29.26
38,Female,59.1,1.72,196,148,68,1.07,792,Cardio,31.3,1.7,3,2,19.98
47,Female,49.9,1.69,178,147,64,1.48,979,HIIT,26,1.7,3,2,17.47
50,Male,101.7,1.67,192,127,57,0.53,333,HIIT,20.9,2.9,2,1,36.47
45,Male,93,1.91,175,143,55,1.03,729,Cardio,27.3,3.7,3,2,25.49
50,Male,87.4,1.6,182,122,67,0.77,465,Strength,23.2,3.1,2,1,34.14
22,Female,55.1,1.61,166,144,68,1.62,1166,HIIT,19.9,2.7,4,3,21.26
36,Male,123.7,1.69,185,138,73,1.3,987,Cardio,20.4,2.1,4,2,43.31
21,Female,61.3,1.57,191,152,64,1.94,1474,HIIT,17.2,2.7,4,3,24.87
52,Male,72.3,1.94,171,121,56,1.46,874,Yoga,21.1,2.9,3,2,19.21
34,Female,69.2,1.53,167,134,59,1.36,911,HIIT,28.5,2.1,2,1,29.56
45,Male,81.4,1.61,164,141,55,1.14,796,Cardio,30,2.2,4,2,31.4
47,Male,84.8,1.86,187,129,63,1.85,1181,HIIT,14.4,3.5,5,3,24.51
46,Male,55.1,1.72,164,137,66,1.43,970,Yoga,20.5,3.6,3,2,18.62
23,Female,59,1.78,185,141,58,1.67,1177,Yoga,17.8,2.7,5,3,18.62
52,Female,64.9,1.51,164,165,68,1.83,1359,HIIT,18.2,2.7,4,3,28.46
58,Male,109.7,1.75,181,168,54,1.01,840,HIIT,22.1,2.7,2,1,35.82
54,Male,78.4,1.9,174,146,72,0.81,585,Yoga,21.5,3.7,2,1,21.72
41,Female,76.7,1.79,172,132,56,1.4,832,Yoga,34,2,4,2,23.94
46,Female,63.1,1.61,187,152,68,1,684,Strength,34.7,2.2,4,2,24.34
48,Female,62.9,1.58,192,124,69,1.98,1105,Strength,20,2.7,4,3,25.2
52,Male,85.6,1.74,182,145,56,1.84,1321,Yoga,13.9,3.5,4,3,28.27
50,Female,66.3,1.57,192,132,73,1.25,742,HIIT,31.6,1.6,2,1,26.9
38,Male,61.3,1.97,177,146,51,1.37,1100,Cardio,23.5,2.8,3,1,15.8
49,Female,44.1,1.65,189,133,74,1.16,694,HIIT,26.7,1.8,4,2,16.2
40,Male,63.8,1.62,185,143,72,1.3,1022,HIIT,20.8,3.4,2,1,24.31
50,Female,55.4,1.55,175,122,65,1.85,1016,Strength,18.5,2.7,4,3,23.06
20,Female,74.7,1.58,172,166,62,1.04,863,Strength,32.8,2.4,3,2,29.92
35,Female,78,1.67,198,168,57,1.13,949,Strength,33.3,2.5,4,2,27.97
42,Female,57.5,1.67,192,149,55,1.14,764,Yoga,34.1,2.4,2,1,20.62
59,Female,60.7,1.73,185,154,55,1.03,714,Yoga,33.8,2.5,3,2,20.28
48,Male,69,1.74,160,167,58,1.48,1223,HIIT,30,2.3,3,2,22.79
20,Female,75.8,1.78,197,133,53,1.42,944,HIIT,27.4,2,4,2,23.92
57,Female,75.7,1.63,161,131,60,0.69,407,Cardio,32.6,2.3,3,1,28.49
41,Female,71.2,1.64,165,147,54,1.42,939,HIIT,30.9,2.3,3,2,26.47
49,Male,85,1.68,197,163,74,1.82,1468,HIIT,11.3,3.5,4,3,30.12
39,Female,63.6,1.56,183,148,66,1.22,903,Strength,34.8,2.4,2,1,26.13
40,Male,73.2,1.94,177,162,69,0.81,722,Strength,29,2.4,2,1,19.45
19,Female,48.3,1.52,186,136,56,0.96,653,Strength,26.3,1.6,2,1,20.91
44,Female,42.8,1.78,167,159,64,1.49,1066,Strength,25.3,2.6,3,2,13.51
59,Male,88.1,1.76,187,168,74,1.35,1123,Strength,26.9,3,3,2,28.44
19,Female,72.4,1.75,169,140,64,1.2,840,Cardio,31,1.7,4,2,23.64
43,Male,73.2,1.88,176,142,63,1.17,822,Cardio,29.4,3.3,3,1,20.71
34,Male,110.5,1.86,188,139,62,1.42,1086,Cardio,22.3,3.6,2,1,31.94
57,Female,46.1,1.76,165,130,60,1.44,842,Strength,25.8,1.7,3,2,14.88
50,Male,90.8,1.71,173,153,62,1.07,810,Yoga,22.6,3.4,4,2,31.05
26,Female,59.3,1.51,181,129,71,1.7,1096,Strength,15.1,2.7,5,3,26.01
56,Female,45.1,1.73,165,129,73,0.83,482,Strength,25.4,2.6,3,1,15.07
46,Male,45,1.77,185,162,58,1.48,1187,Cardio,29.1,3.6,3,2,14.36
59,Male,89.4,1.62,198,125,59,1.43,885,Strength,23.5,3.6,3,2,34.06
43,Male,127.7,1.69,171,155,53,1.14,875,Cardio,24.1,2.9,3,2,44.71
52,Male,70.9,1.72,194,143,66,1.31,927,Strength,20.2,2.6,3,2,23.97
42,Female,49.2,1.5,173,131,63,1.15,678,HIIT,27.7,1.5,3,2,21.87
41,Female,62.3,1.79,181,162,73,1.99,1451,Yoga,19,2.7,5,3,19.44
30,Male,64.1,1.87,182,142,67,0.64,500,Yoga,26.2,2.1,2,1,18.33
24,Female,69.7,1.75,166,146,60,1.41,1029,Cardio,32.5,2,3,1,22.76
53,Female,56.9,1.59,199,164,65,1.49,1100,HIIT,29.5,2,3,2,22.51
37,Female,53,1.71,184,156,50,1.13,881,Yoga,28.1,1.7,4,2,18.13
18,Female,72.7,1.55,172,125,56,0.84,525,Cardio,29.8,2,3,1,30.26
25,Male,76.5,1.96,180,120,59,0.67,442,Strength,23.2,2.3,3,1,19.91
33,Male,113.6,1.99,169,125,58,1.38,949,Strength,28.4,3.4,2,1,28.69
31,Female,62.5,1.62,168,169,74,1.56,1318,HIIT,16.5,2.7,4,3,23.81
29,Male,95.2,1.86,174,141,52,0.64,496,Yoga,26.6,2.5,2,1,27.52
40,Male,51.7,1.82,161,160,71,0.9,792,Strength,21.4,3,3,1,15.61
32,Male,105.3,1.67,184,143,72,0.57,448,Cardio,26.9,2.9,3,1,37.76
45,Female,71.2,1.68,172,144,63,1.37,888,Strength,34.1,1.6,3,1,25.23
51,Female,78.1,1.51,193,134,74,0.92,555,Strength,31.1,2.6,3,1,34.25
19,Female,50.6,1.68,193,145,64,1.21,877,Yoga,30.6,2.1,3,2,17.93
49,Male,70.2,1.89,194,127,51,0.7,440,Yoga,29.6,2.6,3,1,19.65
40,Female,62.6,1.53,197,143,73,1.93,1380,Cardio,18.1,2.7,5,3,26.74
39,Female,60.6,1.65,162,167,63,0.92,768,HIIT,27.6,1.7,3,1,22.26
42,Male,76.4,1.97,165,157,65,1.14,886,HIIT,22.9,2.6,3,2,19.69
39,Female,63.3,1.71,178,125,56,1.88,1175,Strength,18.5,2.7,4,3,21.65
39,Female,68.6,1.64,162,154,53,1.33,1024,Cardio,32.4,1.5,3,2,25.51
59,Male,123.3,1.88,177,161,67,1.3,1036,HIIT,23,2.6,4,2,34.89
23,Male,107,1.94,198,120,73,1.35,891,HIIT,23.5,2.9,2,1,28.43
32,Male,68.3,1.92,168,165,54,1.42,1289,Strength,29.9,3.5,2,1,18.53
54,Female,47.8,1.6,171,155,55,1.19,830,Cardio,26,2.3,4,2,18.67
50,Female,58.4,1.79,164,131,56,1.6,943,HIIT,17,2.7,4,3,18.23
25,Female,74.3,1.71,162,157,64,1.43,1123,Yoga,25.6,1.6,3,2,25.41
22,Male,106.8,1.82,170,130,50,1,715,Yoga,28.2,2.3,4,2,32.24
56,Male,125.5,1.8,189,131,73,1.26,817,Strength,20.9,2.7,4,2,38.73
21,Female,55.2,1.55,163,161,53,1.37,1103,Strength,31.7,1.7,4,2,22.98
23,Female,71.4,1.72,164,169,74,1.25,1056,Strength,25.6,1.5,2,1,24.13
49,Male,77.7,1.61,160,158,50,1.03,806,Strength,26.7,3.4,3,2,29.98
47,Male,88.4,1.6,186,126,60,1.86,1160,HIIT,14.2,3.5,5,3,34.53
52,Male,104.8,1.99,187,130,67,0.93,598,Cardio,24,2,2,1,26.46
57,Male,82.2,1.69,188,155,63,1.15,882,Strength,25.2,3.4,4,2,28.78
33,Female,68.2,1.75,177,150,71,0.85,638,Strength,29,1.7,2,1,22.27
30,Male,91.4,1.99,171,152,60,1.37,1145,HIIT,23,3.7,3,2,23.08
59,Female,42.1,1.65,172,132,59,1.22,725,Strength,33,2.2,2,1,15.46
47,Female,68.7,1.76,161,137,66,1.37,845,Strength,27.7,2.4,3,2,22.18
36,Female,47.2,1.74,196,160,53,1.5,1200,Cardio,32.2,1.6,4,2,15.59
34,Male,92,1.76,175,143,73,0.73,574,Yoga,22.1,3.5,3,1,29.7
36,Male,56.2,1.95,183,128,64,1.09,767,Strength,22.5,3.4,4,2,14.78
45,Male,58.4,1.72,194,150,65,1.31,973,HIIT,23.4,3.1,4,2,19.74
43,Male,82.9,1.95,181,160,70,1.9,1505,Cardio,12.9,3.5,5,3,21.8
54,Female,66.9,1.74,195,129,62,1.24,720,HIIT,29.5,2.1,2,1,22.1
43,Male,66.3,1.85,170,121,58,1.18,707,Cardio,27.5,3.2,2,1,19.37
40,Male,93.6,1.93,188,157,60,1.38,1192,Cardio,22.1,2,3,1,25.13
26,Female,64.1,1.5,194,134,60,1.93,1293,Strength,15.1,2.7,5,3,28.49
29,Male,86.7,1.62,174,122,55,1.52,1020,Strength,13.9,3.5,4,3,33.04
18,Female,62,1.59,190,162,50,1.23,996,Strength,33.2,2.2,4,2,24.52
18,Female,58.1,1.61,175,150,71,1.9,1425,Yoga,15.3,2.7,4,3,22.41
51,Female,64.9,1.6,169,125,55,1.49,838,Yoga,31.1,2.5,4,2,25.35
49,Female,69.3,1.62,191,122,62,1.14,626,HIIT,28.8,1.9,4,2,26.41
42,Female,42.7,1.74,161,130,71,1.04,608,Strength,32.9,1.6,3,1,14.1
57,Female,51.4,1.63,183,134,73,1.2,724,Yoga,33.7,2,4,2,19.35
18,Female,67.4,1.6,182,164,71,0.6,492,Strength,33.5,2.4,3,1,26.33
33,Female,55.6,1.61,161,147,54,1.77,1301,Yoga,18.9,2.7,4,3,21.45
56,Male,125.3,1.86,197,129,64,1,639,Yoga,22.7,2.2,3,2,36.22
22,Male,102.1,1.85,190,157,67,1.48,1278,Cardio,28.1,2.4,4,2,29.83
39,Male,61.9,1.77,199,166,69,1.32,1205,Strength,25.3,2.3,3,1,19.76
46,Male,108.8,1.64,185,169,63,1.4,1171,Strength,20.5,3.4,3,1,40.45
20,Female,51.1,1.58,188,169,64,0.5,422,Yoga,29.6,1.6,2,1,20.47
29,Male,81.7,1.99,162,126,54,1.45,1005,Strength,29.4,3.2,2,1,20.63
43,Female,42.7,1.66,173,134,53,0.73,440,Yoga,33.9,1.9,2,1,15.5
33,Male,81.8,1.99,184,137,51,1.59,1198,Strength,10.5,3.5,4,3,20.66
54,Male,54.6,1.76,160,137,56,1.28,868,Cardio,27.4,3.3,4,2,17.63
39,Male,107.7,1.88,162,160,59,0.72,634,Strength,28.1,3.6,2,1,30.47
46,Female,56.9,1.6,185,143,65,0.88,566,Cardio,27.7,1.6,3,1,22.23
31,Male,78.8,1.71,177,121,59,1.49,992,HIIT,24.7,2.5,4,2,26.95
45,Female,48.2,1.64,168,159,67,1.25,894,Strength,32.1,2.5,4,2,17.92
22,Female,50.7,1.59,197,139,66,1.27,883,Strength,29.4,1.8,3,2,20.05
47,Male,86.6,1.99,182,153,70,1.98,1500,Strength,10.6,3.5,4,3,21.87
22,Male,96.3,1.63,180,162,62,1.35,1203,Cardio,27.1,2.4,4,2,36.25
29,Male,80.8,1.98,160,145,50,1.65,1316,Strength,14.6,3.5,5,3,20.61
33,Female,58,1.53,180,126,50,1.84,1159,Strength,18.3,2.7,5,3,24.78
43,Male,95.9,1.85,186,157,64,1.28,995,Yoga,27.7,3.4,2,1,28.02
43,Female,61.5,1.58,165,149,50,1.86,1247,HIIT,16.8,2.7,5,3,24.64
38,Female,40.6,1.79,195,161,55,0.62,499,Cardio,26.8,2.7,2,1,12.67
56,Male,82.5,1.87,187,124,74,1.51,927,Yoga,13.2,3.5,5,3,23.59
53,Male,105.1,1.84,176,130,62,0.69,444,Cardio,23.3,2.9,3,1,31.04
50,Female,58.1,1.58,199,120,50,1.93,1042,Yoga,19.3,2.7,5,3,23.27
47,Female,61,1.76,162,153,54,1.54,1060,HIIT,15.6,2.7,5,3,19.69
54,Female,64.5,1.53,171,120,58,1.74,940,Yoga,17.2,2.7,4,3,27.55
40,Male,58.2,1.98,198,138,74,1.43,1085,Cardio,24,2.5,3,2,14.85
27,Female,69.5,1.76,171,121,66,0.94,569,Strength,34.4,2,3,1,22.44
22,Male,62.2,1.84,161,140,65,0.51,393,Strength,21.5,2.3,3,1,18.37
53,Female,68,1.7,181,139,57,1.06,663,HIIT,25.1,2.4,4,2,23.53
51,Female,56.3,1.5,182,142,66,1.43,914,Cardio,27.4,2.4,3,1,25.02
48,Male,94.5,1.7,189,140,64,1.01,700,Cardio,28.2,3.5,3,2,32.7
27,Female,58,1.79,164,143,73,1.39,994,Cardio,27.1,1.5,2,1,18.1
36,Male,84,1.94,168,123,50,1.8,1218,HIIT,11.2,3.5,5,3,22.32
49,Male,61,1.87,180,131,61,1.14,739,Strength,21.3,3,4,2,17.44
18,Female,64.8,1.53,170,141,54,1.98,1396,Yoga,18.6,2.7,5,3,27.68
22,Male,45.7,1.77,164,139,73,1.04,795,HIIT,20.7,2.4,3,1,14.59
21,Male,80.9,1.9,194,137,55,1.8,1356,Yoga,11.7,3.5,4,3,22.41
33,Female,64.1,1.63,186,120,74,1.58,948,Strength,16.4,2.7,5,3,24.13
41,Male,67,1.77,161,149,50,1.22,900,HIIT,25.6,2.6,3,2,21.39
33,Male,106.5,1.6,183,152,74,1.4,1170,Strength,27.3,3.3,4,2,41.6
19,Male,95.1,1.85,190,143,50,1.21,952,Yoga,25.3,2.3,4,2,27.79
45,Female,65.5,1.57,192,133,59,0.66,395,Cardio,34.3,2.3,2,1,26.57
49,Male,105.7,1.64,198,155,59,1.2,921,Cardio,29.5,3.1,3,2,39.3
44,Female,48,1.76,189,124,52,0.88,491,Yoga,28.6,2.6,2,1,15.5
37,Female,69.5,1.5,196,130,66,0.69,448,Cardio,32.8,2.4,2,1,30.89
41,Male,66.1,1.69,187,143,68,0.77,545,Yoga,27.4,3.4,2,1,23.14
29,Male,68,1.7,190,150,60,0.76,627,HIIT,28.9,2.9,2,1,23.53
52,Male,50.3,1.78,170,132,67,0.85,555,HIIT,24.5,2.3,2,1,15.88
50,Female,69.3,1.68,182,135,51,1.2,729,HIIT,30.3,2,2,1,24.55
50,Male,86.7,1.63,161,143,58,1.7,1203,Cardio,12.1,3.5,4,3,32.63
54,Male,125.9,1.94,199,132,73,1.35,882,Strength,28.5,2.9,3,2,33.45
29,Male,88.1,1.93,186,143,66,1.88,1479,Cardio,11.1,3.5,5,3,23.65
20,Male,124.3,1.82,194,145,63,1.25,997,Cardio,22.4,3.2,3,2,37.53
18,Male,62,1.85,161,121,53,0.88,586,Strength,23.7,3,3,1,18.12
50,Female,69.7,1.72,198,135,66,1.24,753,Strength,27.3,2,4,2,23.56
57,Female,60.9,1.52,196,157,66,1.31,926,Strength,30.6,1.8,3,2,26.36
27,Male,76.5,1.97,180,165,61,1.13,1025,Strength,21.3,2.3,2,1,19.71
46,Male,94.7,1.82,164,120,69,1.47,873,Cardio,23.2,3.2,3,2,28.59
30,Male,67.9,1.75,180,168,67,1.25,1155,Yoga,29.1,3.1,2,1,22.17
29,Male,121.1,1.87,188,130,52,1.31,937,HIIT,24.1,3.2,4,2,34.63
48,Female,71.5,1.64,179,154,60,1.46,1012,Yoga,32.5,1.9,4,2,26.58
19,Male,98.6,1.7,197,162,74,0.83,740,Cardio,21.1,2.4,2,1,34.12
52,Female,68.2,1.63,179,148,67,1.17,779,Strength,27.5,2.4,3,1,25.67
40,Female,57.7,1.69,184,156,53,1.18,920,HIIT,33.1,2.4,4,2,20.2
34,Male,124.6,1.63,161,136,66,1.41,1055,HIIT,27.6,2.8,3,2,46.9
43,Female,73,1.59,191,158,67,1.31,931,Yoga,28.9,2.2,3,1,28.88
25,Female,59.4,1.51,185,161,54,1.62,1304,Cardio,19.8,2.7,5,3,26.05
46,Female,52,1.65,165,147,63,0.7,463,Cardio,34.1,1.9,2,1,19.1
43,Female,42.2,1.65,162,148,59,1.33,886,Cardio,34.6,2.3,3,2,15.5
27,Male,89.3,1.64,192,162,64,1.82,1622,HIIT,12.1,3.5,4,3,33.2
43,Male,110,1.76,160,122,50,1.09,658,Yoga,22,3.4,3,1,35.51
51,Female,66.2,1.58,164,129,65,0.86,499,HIIT,31.3,2.3,3,1,26.52
58,Male,58.6,1.66,172,161,60,1.21,964,HIIT,26.8,2.9,2,1,21.27
24,Male,51,1.67,178,133,72,0.97,710,Strength,21.3,2.8,3,1,18.29
21,Male,101.5,1.95,171,131,69,0.97,699,Yoga,27.9,3.1,3,1,26.69
28,Male,114.2,1.87,184,166,55,1.05,959,Strength,20.2,3.2,3,2,32.66
46,Male,54.4,1.72,194,161,73,0.91,725,Cardio,24.8,2.9,2,1,18.39
53,Female,52.4,1.57,171,149,71,1.34,898,HIIT,28.3,2.2,3,2,21.26
42,Male,85.2,1.81,189,151,65,1.54,1151,Yoga,13.7,3.5,5,3,26.01
38,Male,83.6,1.74,164,151,51,1.66,1379,Cardio,11.6,3.5,5,3,27.61
53,Male,115.4,1.92,193,161,50,1.36,1084,Yoga,28.3,2.2,4,2,31.3
27,Male,71.2,1.97,181,151,73,0.74,615,HIIT,25.9,3.6,3,1,18.35
54,Female,78.1,1.6,198,145,73,1.1,718,Yoga,32.9,2.4,4,2,30.51
26,Female,54.2,1.65,172,120,58,1.07,642,Cardio,34.9,1.9,4,2,19.91
41,Female,77.6,1.76,162,161,71,1.27,920,Strength,31.8,2.2,4,2,25.05
52,Female,44.1,1.62,179,121,61,1.41,768,HIIT,34.8,1.6,3,1,16.8
52,Male,85.5,1.8,190,136,66,1.7,1144,Strength,10.1,3.5,5,3,26.39
53,Female,47.8,1.76,164,149,74,1.06,711,HIIT,28.4,1.5,4,2,15.43
35,Male,102.5,1.94,183,158,64,0.84,730,Cardio,21.1,2.4,2,1,27.23
56,Male,118,1.9,199,126,68,0.66,412,HIIT,22.6,3.2,2,1,32.69
49,Male,82.3,1.84,192,146,71,1.29,932,Strength,28.4,3.4,4,2,24.31
41,Male,81.6,1.87,167,128,59,1.87,1185,HIIT,10.2,3.5,5,3,23.33
40,Male,60.2,1.88,183,141,61,1.22,946,Cardio,25.2,3,3,2,17.03
49,Female,49.2,1.54,179,153,63,1.28,881,HIIT,30.7,2.1,3,2,20.75
54,Female,46.6,1.5,175,165,58,1.38,1025,Strength,30.6,2,2,1,20.71
29,Female,68.7,1.72,171,168,62,1.08,907,Cardio,29.8,1.7,4,2,23.22
30,Female,60.6,1.55,172,120,52,1.3,780,Strength,32.9,1.6,3,2,25.22
40,Male,52.1,1.61,198,128,70,0.87,612,HIIT,21.3,3.3,2,1,20.1
42,Female,46.6,1.77,184,139,63,0.61,382,Yoga,28.1,2.6,2,1,14.87
52,Male,65.5,1.74,191,138,70,1.48,1011,Strength,26.2,2.8,4,2,21.63
58,Female,44.2,1.57,183,155,59,1.08,753,HIIT,31.9,2.3,3,1,17.93
47,Male,89.1,1.84,168,159,65,1.44,1133,Yoga,24,3.6,3,2,26.32
34,Male,65.9,1.62,199,164,56,0.81,731,Yoga,28.8,2.2,2,1,25.11
37,Female,55.6,1.57,182,123,53,0.97,597,Cardio,29.2,2.4,2,1,22.56
42,Male,63.7,1.98,172,128,69,1.37,868,Yoga,24,3,2,1,16.25
39,Male,86.2,1.82,191,160,72,1.96,1725,Strength,10.2,3.5,5,3,26.02
