rank,Youtuber,subscribers,video views,video count,category,started
1,T-Series,222000000.00,198459090822.00,17317.00,Music,2006
2,YouTube Movies,154000000.00,0.00,0.00,Film & Animation,2015
3,Cocomelon - Nursery Rhymes,140000000.00,135481339848.00,786.00,Education,2006
4,SET India,139000000.00,125764252686.00,91271.00,Shows,2006
5,Music,116000000.00,0.00,0.00,,2013
6,PewDiePie,111000000.00,28469458228.00,4497.00,Gaming,2010
7,MrBeast,102000000.00,16832456681.00,726.00,Entertainment,2012
8,✿ Kids Diana Show,99700000.00,79602288245.00,1009.00,People & Blogs,2015
9,Like Nastya,99200000.00,81963845811.00,702.00,People & Blogs,2016
10,Gaming,92700000.00,0.00,0.00,,2013
11,WWE,90200000.00,70544743313.00,63077.00,Sports,2007
12,Zee Music Company,86700000.00,49067711243.00,6603.00,Music,2014
13,Vlad and Niki,85100000.00,66498762660.00,472.00,Entertainment,2018
14,5-Minute Crafts,77100000.00,23881457195.00,5581.00,Howto & Style,2016
15,BLACKPINK,76200000.00,24707415704.00,397.00,People & Blogs,2016
16,Sports,75100000.00,0.00,0.00,,2013
17,Goldmines,74100000.00,18533088438.00,3968.00,Film & Animation,2012
18,Sony SAB,70600000.00,82473581441.00,56295.00,Shows,2007
19,BANGTANTV,70000000.00,17471090750.00,1787.00,Music,2012
20,Justin Bieber,69700000.00,28567240999.00,247.00,Music,2007
21,HYBE LABELS,67800000.00,24013849120.00,971.00,Music,2008
22,Canal KondZilla,65900000.00,36576704790.00,2313.00,Music,2012
23,Zee TV,63000000.00,17111576122.00,60802.00,Entertainment,2005
24,Shemaroo Filmi Gaane,61300000.00,28579945247.00,7884.00,Music,2010
25,Pinkfong Baby Shark - Kids' Songs & Stories,59400000.00,32107290522.00,2374.00,Education,2011
26,Dude Perfect,58100000.00,14742860905.00,297.00,Sports,2009
27,ChuChu TV Nursery Rhymes & Kids Songs,57700000.00,39266652127.00,506.00,Education,2013
28,Movieclips,57600000.00,58839819120.00,39202.00,Film & Animation,2006
29,Marshmello,55700000.00,13445424556.00,401.00,Entertainment,2015
30,Colors TV,55100000.00,52611504230.00,87427.00,Shows,2008
31,Wave Music,53400000.00,37230876862.00,18622.00,Music,2014
32,EminemMusic,53000000.00,23717869724.00,140.00,Music,2007
33,Aaj Tak,52900000.00,20204939173.00,196497.00,News & Politics,2009
34,Tips Official,52800000.00,27883080973.00,3612.00,Music,2007
35,T-Series Bhakti Sagar,52500000.00,24278576197.00,23870.00,Music,2011
36,Sony Music India,52400000.00,24856641898.00,3180.00,Music,2009
37,Ed Sheeran,52200000.00,27881781761.00,253.00,Music,2006
38,El Reino Infantil,51700000.00,49895247456.00,1309.00,Music,2011
39,Ariana Grande,51600000.00,22158094076.00,146.00,Music,2007
40,LooLoo Kids - Nursery Rhymes and Children's Songs,49800000.00,29013984394.00,553.00,Music,2014
41,YRF,47600000.00,29366788406.00,3289.00,Film & Animation,2006
42,Taylor Swift,47100000.00,25563795998.00,189.00,Music,2006
43,Billie Eilish,46200000.00,11999349578.00,48.00,Music,2013
44,JuegaGerman,46100000.00,13698034536.00,1959.00,Gaming,2013
45,BillionSurpriseToys - English Kids Songs & Cartoon,45700000.00,8590657189.00,648.00,Education,2013
46,Infobells - Hindi,45600000.00,25635591765.00,476.00,Education,2014
47,Badabun,45600000.00,18567925780.00,13814.00,Entertainment,2014
48,Fernanfloo,45100000.00,9966728650.00,541.00,Gaming,2011
49,Felipe Neto,44300000.00,15475571879.00,3512.00,Entertainment,2006
50,BRIGHT SIDE,43900000.00,10058536263.00,4540.00,Howto & Style,2017
51,whinderssonnunes,43900000.00,4120078906.00,521.00,Comedy,2013
52,Você Sabia?,43300000.00,7284075395.00,1315.00,Entertainment,2013
53,HolaSoyGerman.,43300000.00,4735959546.00,136.00,Entertainment,2011
54,Katy Perry,43200000.00,23966278157.00,118.00,Music,2008
55,SonyMusicIndiaVEVO,42700000.00,23991411417.00,3309.00,Music,2009
56,Bad Bunny,42500000.00,23748805401.00,123.00,Music,2014
57,Alan Walker,42200000.00,11731228995.00,318.00,Music,2012
58,Like Nastya Show,41500000.00,18745015002.00,599.00,Entertainment,2017
59,Get Movies,41300000.00,28559341412.00,3963.00,Entertainment,2006
60,A4,41200000.00,16717234472.00,645.00,Gaming,2014
61,Speed Records,40800000.00,24558172214.00,10327.00,Music,2012
62,ABS-CBN Entertainment,40600000.00,47544242811.00,179522.00,People & Blogs,2008
63,elrubiusOMG,40400000.00,7483116325.00,705.00,Gaming,2011
64,Shemaroo,39700000.00,20489429972.00,9707.00,Entertainment,2007
65,Rihanna,39600000.00,20092128845.00,79.00,Entertainment,2005
66,Little Baby Bum - Nursery Rhymes & Kids Songs,39500000.00,37136069429.00,1989.00,Education,2011
67,Luisito Comunica,39200000.00,7691260396.00,1119.00,Comedy,2012
68,Voot Kids,38800000.00,17685426640.00,3282.00,Entertainment,2016
69,Маша и Медведь,38700000.00,32833907997.00,1198.00,Film & Animation,2011
70,TheEllenShow,38300000.00,22335550787.00,14404.00,Entertainment,2006
71,LUCCAS NETO - LUCCAS TOON,37800000.00,20454693770.00,1875.00,People & Blogs,2014
72,Ishtar Music,37800000.00,14999240876.00,4535.00,Trailers,2005
73,GR6 EXPLODE,37600000.00,23912270526.00,4180.00,Music,2014
74,XXXTENTACION,37600000.00,9725253939.00,126.00,Music,2015
75,One Direction,37400000.00,12698961117.00,157.00,Music,2010
76,Shakira,37200000.00,23715669906.00,287.00,People & Blogs,2005
77,Kimberly Loaiza,37200000.00,4254148920.00,206.00,People & Blogs,2016
78,WorkpointOfficial,37000000.00,33773658170.00,62039.00,Entertainment,2012
79,Daddy Yankee,36800000.00,20479831396.00,423.00,Music,2011
80,Toys and Colors,36500000.00,40932580174.00,821.00,Entertainment,2016
81,CarryMinati,36300000.00,2948237121.00,178.00,Comedy,2014
82,News,36200000.00,0.00,0.00,,2013
83,Maroon 5,36000000.00,20838666788.00,163.00,Music,2006
84,shfa,35900000.00,19083355034.00,847.00,People & Blogs,2015
85,TEDx Talks,35900000.00,6660397688.00,185006.00,Nonprofits & Activism,2009
86,shfa2 - شفا,35800000.00,20816532667.00,1351.00,People & Blogs,2017
87,Jkk Entertainment,35700000.00,15133442317.00,194.00,Comedy,2017
88,Super Simple Songs - Kids Songs,35300000.00,37440873935.00,600.00,Education,2006
89,Bruno Mars,35300000.00,17395825825.00,97.00,Music,2006
90,Ozuna,35200000.00,21048440606.00,137.00,Music,2016
91,Masha and The Bear,35100000.00,19426654260.00,935.00,Shows,2014
92,one31,34400000.00,26969165355.00,128901.00,Entertainment,2013
93,Goldmines Gaane Sune Ansune,34300000.00,14212434275.00,3171.00,Music,2015
94,Like Nastya ESP,33600000.00,15934957738.00,630.00,Entertainment,2017
95,J Balvin,33600000.00,21489532517.00,134.00,Music,2011
96,Mikecrack,33500000.00,13775632479.00,1727.00,Gaming,2015
97,VEGETTA777,33400000.00,14948682643.00,7130.00,Gaming,2008
98,Ultra Bollywood,33400000.00,15508274562.00,9078.00,Trailers,2009
99,Markiplier,33300000.00,18701808550.00,5200.00,Gaming,2012
100,YouTube,33300000.00,2725286912.00,540.00,News & Politics,1970
101,ABP NEWS,33200000.00,10421462788.00,224455.00,People & Blogs,2012
102,Total Gaming,33200000.00,5935440954.00,1894.00,Gaming,2018
103,Maria Clara & JP,33100000.00,20224535670.00,627.00,People & Blogs,2015
104,Desi Music Factory,33000000.00,9481987642.00,125.00,Music,2014
105,Ryan's World,32900000.00,51721734476.00,2198.00,Entertainment,2015
106,Geet MP3,32800000.00,11575367431.00,563.00,Music,2016
107,Sony PAL,32700000.00,23519452138.00,19383.00,Shows,2014
108,NoCopyrightSounds,32700000.00,10436881173.00,1116.00,Music,2011
109,SSSniperWolf,32500000.00,20583922757.00,3095.00,Gaming,2013
110,T-Series Apna Punjab,32300000.00,18933492606.00,6524.00,Music,2011
111,ARY Digital HD,32200000.00,25304311207.00,71075.00,Entertainment,2016
112,KHANDESHI MOVIES,32100000.00,10676727914.00,191.00,Comedy,2013
113,IndiaTV,31900000.00,13417041251.00,237971.00,News & Politics,2006
114,HAR PAL GEO,31900000.00,26003463646.00,61818.00,Entertainment,2008
115,JustinBieberVEVO,31800000.00,25304909929.00,205.00,Music,2009
116,Ch3Thailand,31600000.00,20335720484.00,76039.00,Entertainment,2014
117,La Granja de Zenón,31500000.00,22808879757.00,558.00,Music,2013
118,GENIAL,31400000.00,6362416164.00,5453.00,Howto & Style,2017
119,Eros Now Music,31000000.00,16582648732.00,9807.00,Entertainment,2007
120,Luis Fonsi,30900000.00,14480846921.00,121.00,Entertainment,2014
121,Selena Gomez,30900000.00,11583101067.00,182.00,Film & Animation,2008
122,Galinha Pintadinha,30800000.00,22858782418.00,62.00,Film & Animation,2006
123,SMTOWN,30800000.00,25203004950.00,3951.00,Music,2006
124,Mr Bean,30700000.00,9936630200.00,2661.00,Shows,2006
125,Bollywood Classics,30600000.00,19244430138.00,2008.00,Music,2012
126,CVS 3D Rhymes & Kids Songs,30500000.00,18636699832.00,338.00,Education,2008
127,Ricis Official,30500000.00,5134450983.00,2003.00,People & Blogs,2016
128,Trap Nation,30400000.00,13348694779.00,2472.00,Music,2012
129,Rajshri,30300000.00,13287506122.00,3739.00,Music,2006
130,DisneyMusicVEVO,30100000.00,24693346235.00,1771.00,Music,2010
131,Dream,30000000.00,2673017855.00,110.00,Gaming,2014
132,The Tonight Show Starring Jimmy Fallon,29900000.00,16006240303.00,7897.00,Comedy,2006
133,AH,29900000.00,4082464979.00,1809.00,Entertainment,2014
134,Saregama Music,29700000.00,12147894890.00,5718.00,Entertainment,2013
135,Spinnin' Records,29600000.00,20075386002.00,10826.00,Music,2007
136,rezendeevil,29600000.00,12599347383.00,11571.00,Gaming,2012
137,Shawn Mendes,29500000.00,11742431673.00,132.00,Music,2011
138,Popular on YouTube,29400000.00,0.00,0.00,,2013
139,Boram Tube Vlog [보람튜브 브이로그],29400000.00,13109187449.00,223.00,Entertainment,2012
140,BabyBus - Kids Songs and Cartoons,29200000.00,23790606514.00,1825.00,Education,2016
141,AuronPlay,29200000.00,3935938048.00,404.00,Comedy,2006
142,The Weeknd,29100000.00,19280816380.00,123.00,Music,2011
143,Maluma,28700000.00,19638529002.00,20.00,Music,2018
144,Adele,28700000.00,12650300730.00,14.00,Music,2008
145,jacksepticeye,28600000.00,15485608801.00,4988.00,Gaming,2007
146,ImagineDragons,28600000.00,14307239074.00,67.00,Music,2009
147,Worldwide Records Bhojpuri,28600000.00,14501468946.00,5927.00,Music,2012
148,Ultra Music,28600000.00,16201384834.00,4665.00,Music,2006
149,Jingle Toons,28600000.00,9728073444.00,228.00,Film & Animation,2013
150,ashish chanchlani vines,28600000.00,4054589048.00,147.00,Comedy,2009
151,PowerKids TV,28400000.00,14322875759.00,2509.00,Film & Animation,2014
152,MrBeast Gaming,28400000.00,4943059589.00,132.00,Gaming,2020
153,Peppa Pig - Official Channel,28200000.00,21008328965.00,2020.00,Film & Animation,2013
154,قناة طيور الجنة | toyoraljanahtv,28100000.00,25743323512.00,3131.00,Entertainment,2008
155,DONA 도나,28100000.00,18421172559.00,160.00,Entertainment,2018
156,Techno Gamerz,28100000.00,7193172591.00,839.00,Gaming,2017
157,Wow Kidz,28000000.00,14967441549.00,3718.00,Film & Animation,2015
158,Talking Tom,28000000.00,13908482957.00,447.00,Comedy,2010
159,The Late Late Show with James Corden,27900000.00,9996299350.00,5422.00,Entertainment,2006
160,Little Angel: Nursery Rhymes & Kids Songs,27700000.00,20217178677.00,1146.00,Education,2015
161,GMANetwork,27600000.00,26290731375.00,114067.00,Entertainment,2006
162,KAROL G,27400000.00,14040459862.00,121.00,Music,2013
163,TheDonato,27200000.00,5094142687.00,2491.00,Entertainment,2015
164,Vlad và Nikita,27100000.00,17117316552.00,405.00,,2018
165,Round2hell,27100000.00,2862422681.00,67.00,Comedy,2016
166,infobells - Tamil,26900000.00,16492704526.00,460.00,Education,2014
167,Drake,26800000.00,12947966180.00,53.00,Music,2009
168,MR. INDIAN HACKER,26800000.00,4592841527.00,812.00,Science & Technology,2012
169,Zee News,26700000.00,12175851183.00,144314.00,News & Politics,2007
170,ToypuddingTV,26600000.00,15570902183.00,2579.00,Entertainment,2014
171,Genevieve's Playhouse - Learning Videos for Kids,26500000.00,18579474197.00,578.00,Education,2016
172,Bounce Patrol - Kids Songs,26400000.00,18891028184.00,205.00,Music,2013
173,Wiz Khalifa,26400000.00,12528940373.00,598.00,Music,2008
174,infobells - Telugu,26300000.00,13426911345.00,421.00,Education,2014
175,enchufetv,26300000.00,10022194205.00,994.00,Comedy,2011
176,AboFlah,26300000.00,3589276436.00,553.00,Gaming,2016
177,DanTDM,26200000.00,18809615646.00,3603.00,Gaming,2012
178,Aditya Music,26100000.00,22661822099.00,19992.00,Music,2008
179,Lucas and Marcus,26100000.00,7942766503.00,968.00,Entertainment,2011
180,WORLDSTARHIPHOP,25900000.00,19426357466.00,6259.00,Music,2008
181,व्लाद और निकिता,25900000.00,15750623413.00,427.00,,2018
182,Michael Jackson,25800000.00,12588288710.00,7.00,Music,2005
183,TaylorSwiftVEVO,25800000.00,23276597783.00,239.00,Music,2009
184,toycantando,25800000.00,13948216340.00,496.00,Music,2009
185,VanossGaming,25700000.00,14907579962.00,1581.00,Gaming,2011
186,LosPolinesios,25600000.00,7086413849.00,725.00,People & Blogs,2012
187,1MILLION Dance Studio,25500000.00,7409442051.00,4251.00,Entertainment,2015
188,BB Ki Vines,25500000.00,4371751617.00,185.00,Entertainment,2015
189,Renato Garcia,25400000.00,6901320769.00,3648.00,Entertainment,2011
190,JYP Entertainment,25200000.00,17152981455.00,1502.00,Music,2008
191,RihannaVEVO,25200000.00,18089677017.00,106.00,Music,2009
192,Nick Jr.,25100000.00,20691684541.00,4712.00,Film & Animation,2012
193,Smosh,25000000.00,10184035967.00,1366.00,Comedy,2005
194,EminemVEVO,24900000.00,18786748261.00,98.00,Music,2009
195,Marília Mendonça,24900000.00,16477333283.00,114.00,Music,2013
196,Beyoncé,24900000.00,15717379166.00,234.00,Music,2005
197,Yuya,24900000.00,2583410213.00,672.00,Howto & Style,2009
198,KatyPerryVEVO,24800000.00,22679485513.00,171.00,Music,2009
199,Jess No Limit,24700000.00,3060187306.00,1914.00,Entertainment,2017
200,WatchMojo.com,24600000.00,15650528115.00,22492.00,Music,2007
201,Las Ratitas,24600000.00,9217427023.00,217.00,People & Blogs,2015
202,Nicki Minaj,24500000.00,9386490086.00,31.00,Music,2013
203,Super JoJo - Nursery Rhymes & Kids Songs,24400000.00,831718833.00,61.00,,2019
204,Goldmines Dishoom,24400000.00,7143695444.00,2844.00,Film & Animation,2016
205,David Guetta,24300000.00,15959928823.00,633.00,Music,2009
206,Masha y el Oso,24300000.00,11006209206.00,840.00,Film & Animation,2016
207,Aditya Movies,24300000.00,7908171009.00,4274.00,Movies,2012
208,Netflix,24300000.00,5678834326.00,5650.00,Entertainment,2012
209,ZHC,24300000.00,2224916696.00,298.00,Film & Animation,2013
210,Post Malone,24200000.00,12492313399.00,51.00,Music,2011
211,1theK (원더케이),24200000.00,22605283252.00,16928.00,Music,2011
212,Amit Bhadana,24100000.00,2242631303.00,93.00,Entertainment,2012
213,Rans Entertainment,24000000.00,5688277632.00,3060.00,People & Blogs,2015
214,Chloe Ting,24000000.00,2735828023.00,367.00,Howto & Style,2011
215,Sandeep Maheshwari,24000000.00,1821164544.00,513.00,People & Blogs,2012
216,Raffy Tulfo in Action,23900000.00,12797189774.00,8755.00,News & Politics,2016
217,KSI,23900000.00,5898102699.00,1242.00,Entertainment,2009
218,Collins Key,23900000.00,6368398946.00,251.00,Entertainment,2011
219,James Charles,23900000.00,3687600020.00,406.00,Entertainment,2015
220,Ninja,23900000.00,2447087199.00,1418.00,Gaming,2011
221,Coldplay,23500000.00,15078170011.00,347.00,Music,2010
222,Logan Paul,23500000.00,5889189870.00,712.00,Entertainment,2015
223,DJ Snake,23400000.00,7645734689.00,209.00,Music,2008
224,Chris Brown,23400000.00,13630944140.00,21.00,Music,2006
225,Happy Lives,23400000.00,10089784164.00,596.00,Science & Technology,2016
226,TRANS7 OFFICIAL,23300000.00,12454676964.00,78951.00,Entertainment,2014
227,Troom Troom,23200000.00,9797581328.00,1992.00,Howto & Style,2015
228,ABPLIVE,23200000.00,6805551423.00,146479.00,People & Blogs,2017
229,Mister Max,23100000.00,14762469807.00,1046.00,People & Blogs,2014
230,NickyJamTV,23100000.00,15050718616.00,328.00,Music,2012
231,Shemaroo Movies,23000000.00,5590554837.00,2155.00,Entertainment,2011
232,Sesame Street,22900000.00,21078177585.00,3425.00,Entertainment,2006
233,Enrique Iglesias,22900000.00,16539033540.00,405.00,Music,2007
234,netd müzik,22800000.00,50658927334.00,20482.00,Music,2014
235,Jelly,22800000.00,14239994409.00,5667.00,Gaming,2014
236,Erlania e Valentina Pontes,22700000.00,7556615404.00,1117.00,Film & Animation,2014
237,DrossRotzank,22500000.00,5743037460.00,1508.00,Entertainment,2006
238,Anuel AA,22400000.00,11627613226.00,92.00,Music,2016
239,Goldmines Bollywood,22400000.00,7122122133.00,2409.00,Film & Animation,2015
240,Miss Katy,22300000.00,13424354473.00,990.00,People & Blogs,2014
241,The Chainsmokers,22300000.00,13337815978.00,237.00,Music,2012
242,Crazy XYZ,22300000.00,5869132761.00,1085.00,Entertainment,2017
243,Frost Diamond,22300000.00,5357578673.00,2191.00,Gaming,2014
244,Mark Rober,22300000.00,2935811566.00,107.00,Science & Technology,2011
245,The Lallantop,22200000.00,8155335430.00,39370.00,News & Politics,2015
246,Technical Guruji,22200000.00,3065204553.00,4609.00,Science & Technology,2015
247,GMM GRAMMY OFFICIAL,22100000.00,24128528075.00,13755.00,Music,2010
248,HUM TV,22100000.00,16656148835.00,59428.00,Entertainment,2011
249,Like Nastya AE,22100000.00,11179266145.00,576.00,Entertainment,2018
250,WB Kids,22100000.00,9340794746.00,1722.00,People & Blogs,2015
251,Venus Movies,22100000.00,6293790011.00,2456.00,Entertainment,2010
